0,1,2,3
5.0,3.0,1.0,29.0
5.0,3.0,1.0,29.0
5.0,47.0,1.0,29.0
5.0,47.0,1.0,29.0
5.0,47.0,1.0,29.0
5.0,47.0,1.0,29.0
5.0,3.0,1.0,29.0
5.0,3.0,1.0,29.0
5.0,3.0,1.0,29.0
5.0,3.0,1.0,29.0
5.0,3.0,1.0,29.0
5.0,3.0,1.0,29.0
40.0,13.0,1.0,29.0
40.0,13.0,1.0,29.0
40.0,13.0,1.0,29.0
5.0,52.0,1.0,29.0
5.0,52.0,1.0,29.0
5.0,52.0,1.0,29.0
5.0,42.0,1.0,29.0
5.0,42.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
5.0,42.0,1.0,29.0
5.0,42.0,1.0,29.0
5.0,42.0,1.0,29.0
5.0,42.0,1.0,29.0
5.0,48.0,1.0,29.0
5.0,48.0,1.0,29.0
5.0,42.0,1.0,29.0
5.0,42.0,1.0,29.0
21.0,17.0,1.0,29.0
21.0,17.0,1.0,29.0
21.0,17.0,1.0,29.0
21.0,17.0,1.0,29.0
21.0,17.0,1.0,29.0
21.0,17.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
5.0,47.0,1.0,29.0
5.0,47.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
5.0,47.0,1.0,29.0
5.0,47.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
3.0,3.0,1.0,29.0
5.0,47.0,1.0,29.0
5.0,47.0,1.0,29.0
3.0,3.0,1.0,29.0
